name,x,y
frozen_yogurt,0.85002244,6.656517
fructose,2.0731575,7.99482
fruit,1.5733268,6.640273
fruit_cocktail,0.9405312,6.5000906
fruit_juice,0.60799825,5.748042
fruit_preserves,1.0053474,6.793535
fruit_puree,1.5898529,7.033299
fruit_tea,1.9314436,8.010467
fruit_vinegar,5.52918,8.333105
fruitcake,1.3260369,6.692427
fry_sauce,5.759398,7.5433903
fudge,0.7738042,6.716711
furikake,5.267432,8.231688
fuzzy_melon,4.8773165,9.215329
gac_fruit,2.7847717,8.3727665
galangal,7.3757195,8.095433
galette,1.6114829,5.9808927
galliano,0.22952898,5.6451793
game_meat,5.4333467,5.2592993
game_stock,5.110192,5.3182387
gammon,5.338706,4.559553
ganache,1.0362573,6.9398794
garam_masala,7.7283463,7.5937786
gardenia_flower,3.4056566,9.047067
gardenia_fruit,3.96564,8.873306
garland_chrysanthemum,5.7141337,8.605617
garlic,6.551493,6.946745
garlic_chive,6.0492907,8.733084
garlic_scape,6.2271256,8.839037
gelatin,1.2071667,5.9766455
geoduck,5.2396855,9.129008
geranium,1.2148843,6.0631785
ghee,7.8278685,6.6113324
ghost_pepper,5.7778354,9.966111
giardiniera,5.2176394,4.389037
gin,0.5540239,5.442849
ginger,6.4607573,8.375674
ginger_ale,0.56311715,5.6235547
ginger_beer,0.2977454,5.490822
ginger_liqueur,0.22860122,5.4190407
ginger_wine,5.0468287,9.324291
gingerbread,0.71013415,6.498766
gingerbread_spice,0.86638457,6.644245
gingersnap,0.7832491,6.542176
ginkgo_nut,4.684904,9.169643
glass_noodle,6.1289825,8.708329
gloucester_cheese,5.740755,4.4450784
glucose_syrup,1.592856,7.4072623
gluten_free_flour,2.3848186,6.502251
glutinous_rice,3.25026,8.347383
glutinous_rice_flour,2.9185324,8.084268
glycerin,1.6648746,6.994761
gnocchi,4.9027753,4.769781
goat,7.480131,7.5031075
goat_cheese,5.3143134,5.269069
goat_milk,2.5410657,7.4998775
gochugaru,5.599175,8.200569
gochujang,5.894192,8.386104
goda_masala,8.177606,6.5543704
goji_berry,3.484531,8.950278
golden_ear_mushroom,3.023699,8.787879
golden_syrup,1.4102678,6.667641
goldschlager,0.2353723,5.7122293
goose,4.7365646,8.449084
goose_egg,5.2215557,9.439132
goose_fat,5.4845204,9.159691
gooseberry,1.2753141,6.0061545
gorgonzola_cheese,4.8347893,4.84633
gouda_cheese,5.6160192,5.0675344
gourami,7.794259,7.944457
graham_cracker,0.8995621,6.6786056
graham_flour,1.480261,6.3593516
grains_of_paradise,4.2254953,4.795991
grana_padano,4.7314363,4.907505
grand_marnier,0.7052372,5.916806
grape,1.0201664,5.713465
grape_leaf,3.776057,5.704679
grape_must,2.9815109,5.43687
grapefruit,1.0685539,5.580284
grapeseed_oil,5.1490636,5.9789753
grappa,0.5449959,5.957076
grass_jelly,2.4413383,8.315848
grasshopper,0.71874344,6.661714
gravy,5.0868363,5.2094812
greek_seasoning,6.109665,4.1002893
green_bean,6.425715,6.5424366
green_chili,6.7737546,6.9782662
green_curry_paste,6.95972,8.256486
green_fish,5.9830585,9.741237
green_olive,5.954327,5.6247773
green_peppercorn,5.3788066,6.819176
green_sichuan_peppercorn,6.2470636,9.507865
green_tea,2.1738374,8.221269
green_tomato,7.8195376,7.9433513
gremolata,5.129913,4.8205357
grenadine,0.43117917,5.5704536
grissini,4.7412367,4.9919896
grits,5.916628,5.118345
ground_ivy,5.616433,9.580352
grouper,6.014186,6.8398485
grouse,5.379622,4.9310513
gruyere_cheese,5.321339,4.6963243
guacamole,6.5082073,4.1423416
guajillo_chile,6.8379188,4.322307
guar_gum,2.3857884,6.8595657
guascas,6.288456,4.4944167
guava,0.8406049,5.5148563
guava_paste,5.925913,4.8146896
guinea_hen,4.715944,5.248743
guizhou_sour_soup,6.2305303,9.554508
gulai_seasoning,7.8680835,7.963641
gulas,5.106215,5.040852
gullac,1.9716514,6.139769
gum_paste,1.2079711,7.0832644
gypsum,5.0774603,8.693234
habanero_pepper,6.598703,4.545177
haddock,6.117494,4.8842235
hair_vegetable,4.712302,9.248112
hairtail,6.1518297,9.194829
hake,6.503478,5.5596333
halibut,6.3922787,5.4196367
halloumi,4.210254,5.449996
halva,1.9360118,6.527981
ham,6.3237143,5.8624225
hanpen,5.4617,7.936634
hard_cider,4.0307794,5.9435625
harissa,4.637697,5.606897
hatch_chile,6.347803,4.3849382
havarti_cheese,5.3987565,4.2223363
hawthorn,3.1213748,8.890992
hazelnut,1.8662616,5.8602996
hazelnut_liqueur,0.66627187,6.42904
hazelnut_oil,4.6584015,5.4917717
hearts_of_palm,5.8355913,5.4424477
hemp_oil,4.557407,7.1227345
hemp_seed,2.6090243,7.017944
herb,5.5715466,6.0405083
herbal_tea,1.860313,8.044903
herbes_de_provence,5.1196914,6.2899094
herbsaint,0.5981977,5.253138
herring,3.5956514,5.845628
hibiscus,2.0856895,8.1681595
hickory_nut,1.5039111,6.927645
hijiki,5.4621506,7.9226007
hog_plum,7.2423577,8.915096
hogao,6.7720165,4.6242967
hoisin_sauce,6.347911,8.553905
hokkien_noodle,5.78051,7.600472
hollandaise_sauce,5.481307,4.6951103
hominy,6.6703043,4.2089844
honey,1.4696141,5.6729198
honey_citron_tea,2.1201344,8.164388
honey_mushroom,3.653767,5.796563
honey_mustard,5.4184513,4.269971
honeycomb,1.1450909,6.537816
honeydew_melon,1.0810434,5.66723
honeysuckle_flower,3.3209615,8.973381
hop,2.3780673,6.7924953
horse_gram,8.213854,6.5176783
horse_head_fish,6.214552,9.708615
horse_mackerel,5.6940055,9.612732
horse_meat,5.623827,9.537712
